ID,Age,Salaire_Annuel (€),Niveau_Etude,Ville,Score_Credit_Externe,Epargne_Totale (€),Montant_Pret_Accorde,Defaut_Paiement
1,56.0,91820.0,Master,Lyon,65.0,21580.0,34962.0,Non
2,53.0,56090.0,Licence,Paris,21.0,26356.0,22234.0,Non
3,19.0,98104.0,Doctorat,Lyon,98.0,2089.0,30607.0,Non
4,44.0,33431.0,Doctorat,Marseille,98.0,8758.0,13905.0,Non
5,20.0,56606.0,Bac,Paris,,26699.0,23863.0,Non
6,31.0,91552.0,Licence,,82.0,20660.0,31603.0,Non
7,24.0,32159.0,Master,Marseille,13.0,3193.0,11530.0,Non
8,21.0,92189.0,Licence,Lyon,83.0,44720.0,33613.0,Oui
9,43.0,52065.0,Licence,Lyon,69.0,2778.0,17829.0,Non
10,40.0,70591.0,Bac,Paris,78.0,13045.0,25296.0,-
11,62.0,66214.0,Bac,-,63.0,25717.0,25518.0,Non
12,61.0,63190.0,Master,Marseille,89.0,25098.0,29559.0,Non
13,22.0,79505.0,Bac,Marseille,21.0,13685.0,28219.0,Oui
14,65.0,92373.0,Doctorat,Paris,94.0,13358.0,33179.0,Non
15,52.0,23110.0,Licence,Marseille,80.0,2903.0,7255.0,Non
16,31.0,15206.0,Master,,67.0,1655.0,5772.0,Non
17,49.0,69268.0,Doctorat,Lyon,93.0,14621.0,27393.0,Non
18,60.0,70820.0,Doctorat,Marseille,76.0,31262.0,32567.0,Non
19,59.0,64080.0,Bac,Lyon,98.0,6498.0,23017.0,Non
20,47.0,33047.0,Licence,Marseille,16.0,15014.0,11886.0,Non
21,18.0,76373.0,Bac,Paris,16.0,6925.0,27543.0,Oui
22,44.0,18748.0,Bac,Marseille,78.0,8849.0,7334.0,Non
23,49.0,83840.0,Doctorat,Paris,66.0,11182.0,26713.0,Non
24,19.0,82172.0,Bac,Paris,56.0,21061.0,34605.0,Non
25,40.0,22392.0,Bac,Marseille,98.0,5137.0,7607.0,Non
26,23.0,85467.0,Master,,71.0,31351.0,34672.0,Non
27,41.0,80733.0,Licence,Marseille,70.0,33851.0,-,Non
28,23.0,64811.0,Doctorat,Marseille,80.0,16910.0,24343.0,Non
29,36.0,82270.0,Doctorat,Paris,93.0,38584.0,32454.0,Non
30,18.0,88656.0,Bac,Lyon,39.0,31112.0,36638.0,Non
31,24.0,31371.0,Doctorat,Paris,66.0,8895.0,11280.0,Non
32,49.0,58016.0,Bac,Marseille,70.0,26083.0,24260.0,Non
33,41.0,74040.0,,,13.0,33339.0,28699.0,Non
34,37.0,17557.0,Bac,Marseille,27.0,1558.0,5691.0,Oui
35,35.0,76135.0,Bac,Paris,58.0,9612.0,27517.0,Non
36,38.0,73871.0,,Marseille,87.0,20376.0,27135.0,Non
37,68.0,32429.0,Licence,Lyon,22.0,8058.0,11070.0,Non
38,25.0,64377.0,Bac,Lyon,87.0,6802.0,22005.0,Non
39,65.0,88744.0,Doctorat,Lyon,30.0,39305.0,39038.0,Oui
40,58.0,18420.0,Bac,Lyon,12.0,9032.0,7204.0,Non
41,69.0,21102.0,Bac,,79.0,4292.0,8498.0,Non
42,20.0,51631.0,Licence,Marseille,11.0,6946.0,16709.0,Non
43,59.0,81320.0,Doctorat,Paris,93.0,12511.0,31219.0,Non
44,43.0,44592.0,Doctorat,Paris,61.0,11404.0,16560.0,Non
45,,92575.0,Doctorat,Lyon,66.0,41144.0,35183.0,Non
46,32.0,93657.0,Doctorat,Marseille,79.0,8051.0,32791.0,Non
47,39.0,71661.0,Bac,Lyon,97.0,5178.0,26024.0,Non
48,50.0,18051.0,Doctorat,?,60.0,637.0,5831.0,
49,69.0,95738.0,Master,Paris,19.0,16107.0,33451.0,Oui
50,34.0,94634.0,Doctorat,Lyon,91.0,9494.0,33366.0,Non
51,40.0,89740.0,Bac,Lyon,24.0,11901.0,35113.0,Oui
52,65.0,71556.0,Bac,Paris,16.0,23755.0,27780.0,Non
53,22.0,74638.0,Master,Lyon,91.0,5141.0,27380.0,Non
54,46.0,69340.0,Master,,59.0,16804.0,28209.0,Non
55,,77752.0,Licence,Lyon,64.0,36938.0,31585.0,Non
56,53.0,55158.0,Licence,Lyon,10.0,15129.0,22192.0,Non
57,62.0,66991.0,Doctorat,Marseille,37.0,19898.0,23356.0,-
58,44.0,,,Marseille,87.0,,18499.0,Non
59,60.0,53304.0,Doctorat,Lyon,83.0,2344.0,20061.0,Oui
60,48.0,42350.0,Bac,Lyon,80.0,14568.0,,Non
61,51.0,35358.0,Doctorat,-,65.0,15556.0,14029.0,Non
62,53.0,59425.0,Bac,Paris,89.0,29436.0,26786.0,Non
63,65.0,85640.0,Master,Marseille,14.0,10868.0,34180.0,Non
64,,83450.0,Bac,Lyon,39.0,21139.0,30428.0,Non
65,42.0,81234.0,Master,Paris,95.0,34532.0,35648.0,Non
66,26.0,97637.0,Master,Marseille,70.0,22430.0,37178.0,Non
67,52.0,26130.0,Bac,Paris,93.0,1429.0,10503.0,
68,59.0,3509758.0,Licence,Paris,83.0,638594.0,1197371.0,Non
69,35.0,63136.0,Licence,Lyon,92.0,3233.0,22174.0,Non
70,30.0,77856.0,,Marseille,59.0,20361.0,29527.0,Non
71,55.0,1786643.0,,Marseille,22.0,677415.0,736229.0,
72,23.0,49578.0,Bac,Lyon,64.0,22514.0,18538.0,Non
73,56.0,19748.0,Licence,Lyon,82.0,7621.0,7727.0,Non
74,58.0,54298.0,Bac,Lyon,79.0,23652.0,24208.0,Non
75,55.0,82641.0,Doctorat,Paris,38.0,13893.0,26572.0,Non
76,33.0,76642.0,Doctorat,Paris,73.0,37168.0,30063.0,Non
77,35.0,67528.0,Licence,Marseille,57.0,30493.0,,Non
78,28.0,25975.0,Doctorat,Lyon,82.0,4531.0,9675.0,Non
79,45.0,99665.0,Doctorat,,91.0,48582.0,37615.0,Non
80,44.0,53088.0,Bac,Paris,82.0,7579.0,16507.0,Non
81,30.0,60445.0,Licence,Marseille,79.0,12991.0,26805.0,Non
82,47.0,52892.0,Master,Paris,72.0,26116.0,21333.0,Non
83,66.0,38833.0,Master,Paris,36.0,11216.0,15671.0,Non
84,50.0,23702.0,Bac,Paris,60.0,8270.0,9965.0,Non
85,22.0,2832517.0,Master,,91.0,1079103.0,1175666.0,Non
86,36.0,71397.0,Bac,Lyon,67.0,7963.0,27084.0,Non
87,18.0,51187.0,Master,Marseille,88.0,12456.0,19805.0,Non
88,20.0,52131.0,Bac,Lyon,39.0,22914.0,23295.0,Oui
89,34.0,34758.0,Master,Marseille,68.0,12339.0,15467.0,Non
90,68.0,80215.0,Doctorat,Lyon,88.0,25825.0,32070.0,Non
91,32.0,76886.0,,Paris,78.0,35070.0,35472.0,
92,47.0,58088.0,Bac,Paris,71.0,14588.0,24567.0,Non
93,,,Bac,Lyon,97.0,26014.0,26036.0,Non
94,28.0,32144.0,Master,Marseille,65.0,2508.0,12360.0,-
95,25.0,56240.0,Master,Marseille,86.0,5311.0,19693.0,Non
96,68.0,51668.0,Licence,Paris,59.0,,17220.0,Non
97,43.0,96818.0,Bac,Lyon,76.0,4846.0,30924.0,Non
98,47.0,67796.0,Bac,Lyon,17.0,25535.0,23857.0,Oui
99,69.0,97558.0,Doctorat,Lyon,82.0,18610.0,33741.0,Oui
100,41.0,19621.0,Master,Marseille,77.0,5115.0,6691.0,Non
101,64.0,49674.0,Master,Paris,82.0,985.0,15346.0,null
102,34.0,71793.0,Licence,Paris,29.0,,,Non
103,,41734.0,,,62.0,12411.0,16592.0,Non
104,61.0,75004.0,Licence,,60.0,23013.0,26186.0,Non
105,50.0,16605.0,Master,Lyon,84.0,1576.0,5434.0,Non
106,26.0,39818.0,Master,Paris,15.0,8160.0,15187.0,Oui
107,45.0,15117.0,Bac,Lyon,56.0,4275.0,5278.0,Non
108,25.0,21469.0,Licence,Lyon,74.0,5554.0,8522.0,Oui
109,66.0,82584.0,Licence,Lyon,91.0,21305.0,35771.0,Non
110,53.0,62362.0,,Lyon,64.0,17387.0,24006.0,Non
111,27.0,878892.0,Doctorat,Lyon,91.0,9956.0,281937.0,Non
112,26.0,94767.0,Licence,Marseille,85.0,44111.0,32479.0,Non
113,61.0,82444.0,Doctorat,Marseille,21.0,16144.0,33881.0,Non
114,18.0,58925.0,Doctorat,Paris,95.0,22258.0,20971.0,Non
115,47.0,30524.0,Bac,Marseille,80.0,13883.0,11260.0,Non
116,42.0,99056.0,,Marseille,86.0,23447.0,37137.0,Non
117,55.0,33574.0,Bac,Paris,56.0,9277.0,12552.0,Non
118,,26302.0,Master,Lyon,16.0,9678.0,11045.0,Oui
119,59.0,95910.0,,Paris,84.0,42968.0,33464.0,Non
120,53.0,2432728.0,Bac,Paris,87.0,64299.0,888429.0,Non
121,39.0,58872.0,Licence,Lyon,90.0,13771.0,21676.0,Non
122,69.0,35103.0,Bac,Paris,66.0,13627.0,14286.0,Non
123,44.0,54666.0,Doctorat,Lyon,59.0,22693.0,24192.0,Oui
124,27.0,27999.0,,,97.0,2383.0,8418.0,Non
125,30.0,32368.0,Bac,Marseille,97.0,15107.0,11526.0,Non
126,53.0,79644.0,,,96.0,30894.0,29358.0,Non
127,48.0,59327.0,Bac,Lyon,10.0,3885.0,22192.0,Non
128,38.0,62523.0,Licence,Marseille,31.0,16520.0,26239.0,Oui
129,57.0,26694.0,Bac,Paris,80.0,4629.0,10388.0,Non
130,69.0,88509.0,Licence,Marseille,88.0,40717.0,34758.0,Non
131,60.0,94026.0,Licence,Paris,60.0,2501.0,37339.0,Non
132,50.0,19757.0,Licence,Lyon,61.0,9641.0,8959.0,Non
133,58.0,,Licence,Marseille,26.0,10639.0,24311.0,Non
134,49.0,17482.0,Master,Marseille,84.0,1808.0,7026.0,Non
135,62.0,87847.0,Doctorat,Marseille,,31615.0,34626.0,Non
136,67.0,53000.0,Licence,Lyon,58.0,5254.0,20233.0,Non
137,46.0,63770.0,Doctorat,Lyon,88.0,13409.0,,Non
138,40.0,3595900.0,Doctorat,Paris,57.0,443110.0,1496686.0,Non
139,25.0,83836.0,Master,Marseille,62.0,4923.0,30408.0,Non
140,49.0,,Licence,Marseille,29.0,498633.0,,Oui
141,38.0,81358.0,--,Lyon,61.0,30150.0,33620.0,Non
142,38.0,51220.0,Master,Paris,56.0,23366.0,20403.0,Non
143,,,Licence,Marseille,66.0,12659.0,21503.0,Non
144,54.0,78197.0,Bac,Lyon,12.0,37123.0,29094.0,Non
145,39.0,60648.0,Licence,Lyon,77.0,24376.0,23485.0,Non
146,34.0,42856.0,Licence,Paris,79.0,5844.0,16997.0,Non
147,39.0,70961.0,Licence,Paris,77.0,24464.0,27648.0,Non
148,23.0,76268.0,Licence,Paris,71.0,15907.0,31876.0,Non
149,55.0,16622.0,Bac,Lyon,81.0,7496.0,7804.0,Non
150,23.0,61828.0,Bac,Paris,71.0,13305.0,23755.0,Non
151,45.0,51397.0,Doctorat,Lyon,97.0,5157.0,19921.0,Non
152,53.0,68276.0,Bac,,90.0,,27901.0,Non
153,56.0,43769.0,Master,Marseille,31.0,16149.0,14500.0,Non
154,50.0,89478.0,Doctorat,Marseille,97.0,38004.0,32407.0,Non
155,62.0,62304.0,Licence,Lyon,63.0,11355.0,25953.0,Non
156,,,Doctorat,Lyon,89.0,36885.0,24707.0,Non
157,54.0,90186.0,Licence,Lyon,73.0,14804.0,29740.0,Non
158,66.0,64481.0,Bac,Marseille,66.0,17766.0,28485.0,Oui
159,41.0,27254.0,Bac,Paris,70.0,,10902.0,Non
160,42.0,92454.0,Master,Lyon,80.0,2710.0,33336.0,Non
161,27.0,27182.0,Licence,Paris,61.0,723.0,9918.0,Non
162,,95559.0,Doctorat,Lyon,83.0,23160.0,39168.0,Oui
163,47.0,34426.0,Licence,Marseille,71.0,11311.0,12305.0,Non
164,41.0,72132.0,Licence,Marseille,94.0,16309.0,30425.0,Non
165,40.0,71846.0,Doctorat,Paris,76.0,11939.0,24763.0,Oui
166,35.0,94273.0,Doctorat,Lyon,89.0,41135.0,35368.0,Non
167,47.0,90532.0,Bac,Lyon,12.0,4011.0,37305.0,Non
168,63.0,44629.0,Bac,Paris,98.0,14168.0,17964.0,Non
169,61.0,3486249.0,,Paris,74.0,1294846.0,1483143.0,Non
170,47.0,48933.0,Doctorat,Lyon,27.0,6090.0,20046.0,Non
171,42.0,50400.0,Master,Paris,58.0,5893.0,19743.0,Non
172,54.0,52573.0,Master,Marseille,20.0,23806.0,21682.0,Oui
173,51.0,95435.0,Doctorat,Marseille,83.0,31333.0,38411.0,?
174,68.0,92129.0,Master,Lyon,95.0,9337.0,29875.0,Non
175,20.0,96412.0,Bac,,26.0,25447.0,,Oui
176,37.0,788316.0,Master,Lyon,72.0,276738.0,299903.0,Non
177,41.0,22906.0,Licence,Paris,79.0,6884.0,8237.0,Non
178,31.0,32674.0,Bac,Marseille,83.0,14555.0,15334.0,Non
179,42.0,44192.0,Master,Paris,88.0,9286.0,18653.0,Non
180,32.0,36754.0,Bac,?,91.0,4332.0,12004.0,Non
181,30.0,60648.0,Licence,Paris,83.0,27545.0,26822.0,Non
182,20.0,45561.0,Doctorat,Marseille,10.0,20070.0,19081.0,Oui
183,36.0,82675.0,Bac,Marseille,,14357.0,27715.0,Non
184,62.0,84274.0,,Marseille,22.0,36844.0,37717.0,Oui
185,68.0,93249.0,Licence,Marseille,93.0,8277.0,35468.0,Non
186,53.0,72932.0,Bac,Marseille,67.0,22776.0,25968.0,Non
187,66.0,46966.0,Licence,Paris,60.0,6990.0,18931.0,Non
188,24.0,57207.0,Licence,Marseille,69.0,26698.0,20202.0,Non
189,46.0,,Doctorat,Lyon,,33967.0,23614.0,Non
190,34.0,35953.0,Doctorat,Marseille,23.0,17509.0,14675.0,Non
191,46.0,36427.0,Bac,Marseille,87.0,6140.0,13514.0,Non
192,32.0,42082.0,Licence,Marseille,88.0,20981.0,19065.0,Non
193,34.0,96958.0,Master,Marseille,65.0,11458.0,32165.0,Non
194,19.0,67307.0,Licence,Marseille,71.0,32441.0,27163.0,Non
195,45.0,54214.0,Doctorat,Paris,60.0,20733.0,21634.0,Non
196,22.0,2347865.0,Doctorat,Lyon,89.0,59296.0,738436.0,Non
197,42.0,41385.0,Master,Marseille,23.0,4544.0,12949.0,Non
198,46.0,89318.0,Master,Lyon,61.0,28300.0,35057.0,Non
199,61.0,59859.0,,Marseille,69.0,14722.0,,Non
200,31.0,43541.0,Doctorat,Paris,76.0,12851.0,14522.0,Non
201,19.0,44759.0,Bac,Paris,72.0,15371.0,15420.0,Non
202,35.0,77046.0,Licence,Marseille,87.0,36735.0,27584.0,Non
203,58.0,47981.0,,,86.0,911.0,15497.0,Non
204,39.0,50488.0,Licence,Lyon,56.0,13721.0,20631.0,Non
205,58.0,71985.0,Licence,Marseille,93.0,7804.0,27934.0,Non
206,,80641.0,Master,Paris,38.0,28722.0,33807.0,Non
207,,,Bac,Lyon,17.0,14761.0,23387.0,Non
208,37.0,39826.0,Master,Marseille,70.0,11084.0,14073.0,Non
209,39.0,71446.0,Bac,Lyon,72.0,2827.0,26088.0,Non
210,40.0,16560.0,Bac,Marseille,90.0,6204.0,6668.0,Non
211,46.0,85326.0,Doctorat,Marseille,60.0,30922.0,,Non
212,39.0,17920.0,Master,Marseille,89.0,2115.0,6518.0,Non
213,32.0,45027.0,Bac,Lyon,35.0,16836.0,17383.0,Oui
214,37.0,40963.0,Licence,Lyon,18.0,9213.0,14502.0,Non
215,51.0,58585.0,Master,Lyon,93.0,8532.0,19054.0,Non
216,68.0,63364.0,Licence,Paris,89.0,24727.0,28357.0,Non
217,53.0,26561.0,Doctorat,Lyon,32.0,5641.0,10324.0,Oui
218,55.0,50133.0,Licence,Paris,93.0,9325.0,19404.0,Oui
219,19.0,76272.0,Bac,Lyon,14.0,12916.0,26952.0,Non
220,57.0,27588.0,Master,Marseille,64.0,1269.0,9513.0,Non
221,31.0,86260.0,Licence,Lyon,59.0,11375.0,30972.0,Non
222,60.0,,,Paris,,26462.0,20845.0,Non
223,66.0,41155.0,Doctorat,Marseille,21.0,11299.0,14122.0,Oui
224,37.0,96537.0,Bac,Marseille,80.0,2826.0,33291.0,Oui
225,52.0,43404.0,Master,Paris,68.0,15070.0,15135.0,Non
226,37.0,1680887.0,Master,Marseille,79.0,543210.0,719333.0,Non
227,56.0,21638.0,Master,Lyon,92.0,1697.0,9112.0,Non
228,62.0,16969.0,Licence,Marseille,75.0,950.0,5726.0,Non
229,25.0,28669.0,Bac,Marseille,88.0,9581.0,12579.0,Non
230,43.0,70409.0,Licence,Paris,94.0,27218.0,26022.0,Non
231,44.0,69061.0,Doctorat,Paris,85.0,22987.0,25761.0,Non
232,65.0,23125.0,Doctorat,,15.0,3835.0,7991.0,Non
233,50.0,87460.0,Bac,Paris,95.0,5550.0,28460.0,Non
234,51.0,44165.0,Doctorat,Lyon,88.0,16938.0,16734.0,Non
235,58.0,32772.0,Master,Paris,61.0,420.0,10500.0,Non
236,32.0,24108.0,Master,Paris,86.0,4650.0,,Non
237,61.0,,Licence,Lyon,,17990.0,21882.0,Non
238,43.0,46348.0,Bac,Lyon,59.0,9520.0,17684.0,Non
239,54.0,61819.0,Master,Marseille,60.0,23242.0,24904.0,Non
240,61.0,73348.0,--,Marseille,70.0,24004.0,32363.0,Non
241,32.0,23906.0,Master,Marseille,67.0,4357.0,9461.0,Non
242,51.0,65115.0,Doctorat,Paris,81.0,30311.0,29228.0,Non
243,45.0,,Licence,Lyon,67.0,14819.0,19712.0,Non
244,42.0,59139.0,Licence,Marseille,61.0,9147.0,20319.0,Non
245,66.0,21441.0,Doctorat,Lyon,55.0,4138.0,8262.0,Non
246,62.0,91666.0,Bac,Marseille,75.0,40631.0,41680.0,Non
247,26.0,96929.0,Doctorat,Lyon,96.0,43716.0,38387.0,Non
248,33.0,49084.0,,,90.0,10682.0,17677.0,Non
249,27.0,96571.0,Licence,Paris,59.0,8916.0,32129.0,Non
250,52.0,32014.0,,Paris,91.0,10390.0,13014.0,Non
251,45.0,,Bac,Lyon,,,20110.0,Non
252,52.0,47117.0,Bac,Marseille,65.0,23356.0,18747.0,Non
253,63.0,32625.0,Licence,Lyon,22.0,1595.0,12486.0,Non
254,57.0,88379.0,Master,Paris,60.0,16257.0,34569.0,Oui
255,21.0,,Licence,Paris,86.0,21780.0,20847.0,Non
256,55.0,88794.0,Licence,Paris,76.0,30016.0,37195.0,Non
257,40.0,73576.0,Master,Lyon,62.0,21663.0,26569.0,Non
258,53.0,63604.0,Master,Marseille,70.0,13397.0,25624.0,Non
259,47.0,83619.0,Bac,Marseille,22.0,5745.0,31494.0,Oui
260,68.0,77711.0,Doctorat,Paris,75.0,4315.0,29929.0,Non
261,39.0,19895.0,Bac,Paris,92.0,1751.0,7384.0,Non
262,31.0,20782.0,Licence,Paris,75.0,3734.0,7661.0,Non
263,26.0,53067.0,Licence,,27.0,13939.0,20611.0,Non
264,52.0,25382.0,,Paris,66.0,11827.0,11390.0,Oui
265,59.0,49594.0,Licence,Lyon,15.0,3929.0,17038.0,-
266,24.0,88800.0,Master,Paris,81.0,31126.0,39201.0,Non
267,35.0,70249.0,,Lyon,79.0,17202.0,29073.0,Non
268,50.0,20901.0,Bac,Lyon,23.0,1999.0,6920.0,Non
269,20.0,,,Paris,62.0,9389.0,22104.0,Non
270,21.0,61659.0,Bac,Paris,29.0,13895.0,24905.0,Non
271,23.0,92866.0,Licence,Lyon,73.0,18514.0,38146.0,Non
272,22.0,70677.0,Master,Lyon,69.0,34773.0,32763.0,Oui
273,36.0,76588.0,Bac,Lyon,61.0,26741.0,29345.0,Non
274,50.0,,Bac,Paris,83.0,22043.0,21359.0,Non
275,55.0,30422.0,Bac,Marseille,89.0,5786.0,10875.0,Non
276,,,Bac,Paris,56.0,,23801.0,Non
277,38.0,88294.0,Bac,Lyon,93.0,27661.0,35389.0,Non
278,30.0,71532.0,Bac,Lyon,86.0,17814.0,25742.0,Non
279,52.0,25634.0,,,80.0,1854.0,9573.0,Non
280,51.0,48361.0,Doctorat,Marseille,83.0,11371.0,17963.0,Non
281,38.0,68352.0,Doctorat,-,95.0,23730.0,,Non
282,65.0,35281.0,Doctorat,Paris,88.0,7031.0,14605.0,Non
283,39.0,,Bac,Marseille,,3968.0,18529.0,Non
284,61.0,56991.0,Bac,Paris,55.0,2582.0,21276.0,Non
285,41.0,91816.0,Bac,Paris,85.0,14259.0,30608.0,Non
286,28.0,4404722.0,Master,Marseille,97.0,933555.0,1496280.0,Non
287,22.0,91295.0,Doctorat,,86.0,23935.0,35982.0,Non
288,34.0,50144.0,Licence,Marseille,90.0,15612.0,19172.0,Non
289,31.0,93040.0,Licence,Marseille,64.0,37343.0,35164.0,Non
290,29.0,32153.0,Licence,Paris,85.0,8526.0,11962.0,Non
291,49.0,72866.0,Licence,Marseille,72.0,8748.0,25941.0,Non
292,42.0,69093.0,Doctorat,Lyon,76.0,9960.0,23716.0,Non
293,37.0,79946.0,Licence,Paris,89.0,27102.0,31736.0,Non
294,47.0,91272.0,,Paris,75.0,34680.0,33848.0,Non
295,,,Doctorat,Lyon,98.0,40862.0,22504.0,Non
296,39.0,73712.0,Licence,Paris,56.0,5495.0,23526.0,Oui
297,32.0,63689.0,Master,Marseille,78.0,11321.0,21477.0,Non
298,39.0,82260.0,Bac,Marseille,73.0,6931.0,32362.0,Oui
299,47.0,24496.0,Doctorat,Paris,96.0,6943.0,9549.0,Non
300,25.0,64666.0,Bac,Marseille,96.0,21482.0,26224.0,Non
301,42.0,51735.0,Licence,Marseille,56.0,9526.0,17002.0,Non
302,30.0,99899.0,,Lyon,66.0,37503.0,41919.0,Non
303,31.0,55372.0,Bac,Marseille,85.0,8845.0,21640.0,Non
304,36.0,3121038.0,Bac,Lyon,12.0,241984.0,1060963.0,Oui
305,55.0,17023.0,Master,Paris,58.0,1682.0,6405.0,Non
306,62.0,42766.0,Master,Paris,78.0,2609.0,15667.0,Non
307,69.0,26005.0,Doctorat,Lyon,73.0,3698.0,10558.0,Non
308,36.0,20997.0,Master,Lyon,66.0,8285.0,8777.0,Oui
309,,,Doctorat,Paris,87.0,1349.0,19579.0,Non
310,,40051.0,Master,Marseille,37.0,6277.0,14648.0,Non
311,50.0,49051.0,Doctorat,Marseille,60.0,24312.0,19758.0,Non
312,28.0,18471.0,Bac,Paris,64.0,3212.0,6705.0,Non
313,30.0,21397.0,Licence,Paris,73.0,2932.0,6622.0,Non
314,63.0,77812.0,Doctorat,Paris,75.0,18247.0,30066.0,Oui
315,22.0,41201.0,Doctorat,Lyon,89.0,9231.0,15870.0,
316,53.0,28493.0,Licence,Paris,78.0,6875.0,9686.0,Non
317,,89603.0,Licence,Lyon,61.0,11739.0,36600.0,Non
318,45.0,65057.0,Doctorat,Lyon,79.0,25410.0,27710.0,Oui
319,61.0,20347.0,Doctorat,Marseille,97.0,1591.0,7159.0,Non
320,21.0,45682.0,Master,Lyon,27.0,16852.0,,Non
321,28.0,92454.0,Doctorat,Marseille,80.0,19896.0,30300.0,Non
322,31.0,33745.0,Bac,Lyon,77.0,3613.0,11680.0,Non
323,41.0,72714.0,Bac,Paris,95.0,1512.0,27397.0,Non
324,21.0,30352.0,Master,Lyon,71.0,14886.0,13081.0,Non
325,51.0,33474.0,Bac,Marseille,71.0,10387.0,13005.0,Non
326,63.0,84184.0,Licence,Paris,76.0,35903.0,30681.0,Non
327,19.0,91943.0,Doctorat,Marseille,76.0,14011.0,33403.0,Non
328,64.0,45651.0,Master,Lyon,28.0,18044.0,18303.0,Non
329,49.0,27819.0,Licence,Marseille,76.0,522.0,10633.0,Oui
330,57.0,33133.0,Doctorat,Lyon,95.0,9425.0,12836.0,Non
331,45.0,44118.0,Licence,Paris,57.0,20096.0,19026.0,Non
332,50.0,33658.0,Licence,Marseille,79.0,6890.0,12371.0,Non
333,60.0,17551.0,,Lyon,82.0,6689.0,7932.0,Non
334,54.0,21710.0,Bac,Marseille,94.0,5750.0,8143.0,Non
